id,rle_mask
00801127b0,1 54 102 55 203 57 304 58 405 58 506 59 607 59 708 60 809 61 910 61 1011 62 1112 62 1213 62 1314 62 1415 62 1516 62 1617 62 1718 62 1819 61 1920 61 2021 61 2122 60 2223 60 2324 59 2425 58 2526 56 2627 53 2728 52 2829 51 2930 49 3031 49 3132 48 3233 48 3334 47 3435 47 3536 46 3637 46 3738 46 3839 46 3940 45 4041 45 4142 45 4243 45 4344 45 4445 45 4546 45 4647 45 4748 45 4849 45 4950 45 5051 45 5152 45 5253 45 5354 44 5455 44 5556 44 5657 43 5758 43 5859 43 5960 42 6061 41 6162 41 6263 40 6364 39 6465 38 6566 37 6667 36 6768 35 6869 34 6970 34 7071 33 7172 33 7273 32 7374 32 7475 31 7576 31 7677 30 7778 30 7879 29 7980 29 8081 28 8183 26 8285 24 8387 22 8489 19 8591 16 8694 12 8798 5
008315cbd8,
008f8c8aaa,
0091fb2dab,8078 2 8177 5 8277 6 8376 8 8476 9 8576 10 8675 12 8774 14 8873 16 8973 17 9073 18 9173 19 9274 19 9374 20 9475 20 9576 20 9677 20 9778 20 9879 20 9980 20 10080 21 10182 20
0092c53387,1 60 102 60 203 60 304 59 405 59 506 58 607 56 708 56 809 55 910 54 1011 53 1112 52 1213 51 1314 50 1415 50 1516 49 1617 48 1718 47 1819 46 1920 45 2021 44 2122 43 2223 42 2324 41 2425 40 2526 38 2627 37 2728 37 2829 36 2930 34 3031 33 3132 32 3233 31 3334 29 3435 26 3536 23 3637 20 3738 18 3839 13 3940 12 4041 12 4142 11 4243 11 4344 10 4445 9 4546 9 4647 8 4748 8 4849 8 4950 7 5051 7 5152 7 5253 7 5354 7 5455 7 5556 6 5657 6 5758 6 5859 6 5960 6 6061 6 6162 6 6263 5 6364 5 6465 4 6566 3 6668 2
0094822667,
009bfb3a78,1 24 102 24 203 24 304 23 405 23 506 22 607 22 708 22 809 21 910 21 1011 20 1112 20 1213 19 1314 19 1415 18 1516 17 1617 17 1718 16 1819 16 1920 15 2021 14 2122 14 2223 13 2324 12 2425 12 2526 11 2627 11 2728 11 2829 10 2930 10 3031 9 3132 9 3233 8 3334 8 3435 7 3536 6 3637 6 3738 5 3839 4 3940 3
009d3365bc,29 73 129 74 230 74 331 74 432 74 533 74 634 74 735 74 837 73 938 73 1039 73 1140 73 1241 73 1342 73 1443 73 1544 73 1645 73 1745 74 1846 74 1947 74 2048 74 2148 75 2249 75 2350 75 2450 76 2551 76 2652 76 2753 76 2853 77 2954 77 3055 77 3155 78 3256 78 3357 78 3457 79 3558 79 3658 80 3759 80 3859 81 3960 81 4061 81 4162 81 4262 82 4363 82 4464 82 4565 82 4666 82 4768 81 4869 81 4970 81 5072 80 5174 79 5276 78 5377 78 5480 76 5582 75 5684 74 5786 73 5889 71 5992 69 6094 68 6197 66 6299 65 6401 64 6503 63 6604 63 6706 62 6808 61 6909 61 7010 61 7112 60 7213 60 7314 60 7416 59 7517 59 7618 59 7719 59 7820 59 7921 59 8022 59 8123 59 8224 59 8325 59 8426 59 8526 60 8628 59 8729 59 8830 59 8931 59 9033 58 9134 58 9236 57 9339 55 9440 55 9542 54 9643 54 9745 53 9846 53 9948 52 10048 53 10150 52
009e9c5f22,
00a052d822,
00a5318192,
00a6bfc7a7,
00a738b887,
00a9b78f49,
00aa6a3958,
00aaa5b7f4,6470 12 6568 18 6668 21 6768 23 6869 24 6970 25 7071 26 7172 27 7273 28 7374 29 7475 31 7576 32 7677 34 7778 35 7879 39 7980 53 8081 60 8182 63 8283 65 8384 66 8485 68 8586 71 8687 73 8788 75 8889 99 8990 1212
00b3ad08c8,
00b68675b4,
00b6d3a31f,
00bbed5966,
00bf25f9f9,
00c06147b5,
00c153007b,46 16 147 17 248 17 348 17 411 7 430 13 445 21 508 58 608 58 705 2 708 60 783 13 801 9401
00c473f654,
00c6225718,
00c6536758,1109 3 1209 4 1309 5 1410 5 1511 5 1611 6 1712 6 1812 7 1912 8 2012 9 2112 10 2211 12 2311 13 2411 14 2511 15 2610 17 2710 18 2810 19 2910 20 3010 21 3110 22 3210 23 3310 24 3411 24 3511 25 3612 25 3713 25 3813 26 3913 27 4013 28 4114 28 4214 29 4315 29 4415 30 4515 31 4616 31 4716 32 4817 32 4917 33 5018 33 5119 33 5221 32 5322 32 5423 32 5525 31 5627 30 5729 29 5830 29 5932 28 6033 28 6135 27 6237 26 6339 25 6441 24 6543 23 6645 22 6747 21 6849 20 6951 19 7053 18 7155 17 7257 16 7359 15 7461 14 7563 13 7664 13 7766 12 7868 11 7970 10 8072 9 8173 9 8275 8 8377 7 8478 7 8580 6 8681 6 8783 1
00cbbf2293,
00cde1fc96,7069 2 7168 4 7267 6 7366 8 7465 10 7565 11 7665 12 7765 13 7865 14 7965 15 8066 15 8166 16 8266 17 8365 19 8465 20 8565 21 8665 22 8765 23 8864 25 8964 26 9063 28 9163 29 9263 30 9363 31 9463 32 9563 33 9663 34 9763 35 9864 35 9965 35 10066 35 10167 35
00cdefa5d6,1 4822 4832 90 4942 71 5014 2 5044 63 5146 59 5247 56 5355 2 5358 42 5470 26 5581 4
00d26ea627,
00d51ae232,
00e68bfb1b,
00e6e260a2,96 2 99 2 195 8 296 8 398 3 402 3 490 1 498 8 587 9 598 9 686 22 785 24 885 25 985 26 1086 26 1186 27 1287 27 1388 27 1488 28 1589 28 1690 28 1791 28 1892 28 1993 28 2094 28 2195 28 2296 28 2397 28 2498 28 2599 28 2701 27 2802 27 2903 27 3004 27 3105 27 3206 27 3308 26 3409 26 3511 25 3613 24 3714 24 3815 24 3917 23 4018 23 4119 23 4220 23 4321 23 4422 23 4523 23 4624 23 4725 23 4825 24 4926 24 5027 24 5128 24 5229 24 5330 24 5430 25 5531 25 5632 25 5732 26 5833 26 5933 27 6034 27 6134 28 6233 30 6334 30 6434 31 6534 32 6634 33 6734 34 6834 35 6934 36 7034 37 7135 37 7235 38 7336 38 7436 39 7537 39 7637 40 7738 40 7839 40 7940 40 8041 40 8143 39 8244 39 8345 38 8446 37 8546 37 8647 36 8748 36 8848 37 8948 38 9047 39 9147 40 9246 42 9346 43 9445 45 9544 48 9643 50 9743 52 9844 52 9944 55 10045 55 10147 53
00e900afb7,1 7979 7983 98 8088 94 8191 92 8295 89 8398 87 8502 84 8605 82 8708 80 8810 79 8913 77 9015 76 9116 76 9217 76 9319 75 9421 74 9524 72 9628 69 9733 65 9839 60 9944 56 10047 54 10149 53
00e9cff0f2,
00eea9cc56,
00efd96e2c,603 4 701 7 797 12 894 16 991 20 1089 23 1184 29 1279 35 1373 42 1465 51 1557 60 1650 68 1747 72 1845 75 1944 77 2043 79 2141 82 2240 84 2339 86 2439 87 2537 90 2635 93 2733 7469
00f053ec96,1 6060 6062 100 6169 94 6275 89 6381 84 6487 79 6593 74 6697 71 6803 66 6908 62 7015 56 7121 51 7225 48 7330 44 7434 41 7537 39 7639 38 7743 35 7846 33 7950 30 8054 27 8159 23 8266 17 8378 3
00f12566b9,
00f1af5e69,
00f342f248,
00f6108ccb,
010082e36a,
0100bf4bf9,
010452a624,
01066c1de0,7 95 108 95 210 94 312 93 413 93 515 92 617 91 719 90 820 90 921 90 1022 90 1123 90 1224 90 1325 90 1426 90 1527 90 1628 90 1729 90 1831 89 1933 88 2034 88 2136 87 2237 87 2338 87 2440 86 2541 86 2644 84 2746 83 2848 82 2950 81 3052 80 3155 1 3159 74 3262 72 3364 71 3468 68 3571 66 3674 64 3778 61 3882 58 3986 55 4106 36 4214 28 4320 10 4332 9 4425 2 4437 4
010c27432a,
0113339745,5253 4 5354 6 5455 7 5556 8 5657 9 5758 10 5859 11 5960 11 6061 11 6162 12 6263 12 6364 13 6465 13 6566 14 6667 15 6768 15 6869 16 6970 16 7071 17 7172 18 7273 20 7374 23 7475 25 7576 27 7677 28 7778 30 7879 31 7980 32 8081 33 8182 33 8283 33 8384 34 8485 34 8586 34 8687 34 8788 34 8889 34 8990 34 9091 34 9192 34 9293 33 9394 33 9495 33 9596 32 9697 32 9798 31 9899 31 10000 30 10101 30
0115319420,
01166ff99c,1 39 102 39 203 39 304 39 405 39 506 39 607 39 708 39 809 39 910 40 1011 41 1112 41 1213 42 1314 43 1415 46 1516 51 1617 54 1718 58 1819 59 1920 61 2021 62 2122 64 2223 65 2324 67 2425 68 2526 70 2627 71 2728 73 2829 74 2930 76 3031 77 3132 79 3233 81 3334 82 3435 84 3536 86 3637 88 3738 90 3839 91 3940 92 4041 94 4142 98 4243 100 4344 5858
0123eeda35,6963 7 7060 11 7158 14 7255 18 7353 21 7451 24 7549 27 7647 30 7745 33 7843 36 7943 37 8042 39 8141 41 8240 43 8340 44 8440 45 8539 47 8639 48 8738 50 8837 52 8937 53 9036 55 9135 57 9234 59 9332 62 9429 66 9526 70 9624 73 9721 77 9820 79 9918 82 10019 82 10120 82
01258c92e7,
0129200dc4,
012b7b5cd0,78 24 178 25 279 25 380 25 481 25 582 25 683 25 784 25 885 25 986 25 1087 25 1188 25 1289 25 1390 25 1491 25 1592 25 1693 25 1794 25 1895 25 1996 25 2097 25 2198 25 2300 24 2401 24 2502 24 2603 24 2704 24 2804 25 2905 25 3006 25 3107 25 3208 25 3309 25 3410 25 3511 25 3612 25 3713 25 3814 25 3915 25 4016 25 4116 26 4217 26 4318 26 4419 26 4520 26 4621 26 4721 27 4822 27 4923 27 5024 27 5125 27 5226 27 5327 27 5428 27 5529 27 5630 27 5732 26 5833 26 5934 26 6034 27 6135 27 6236 27 6337 27 6438 27 6539 27 6640 27 6741 27 6842 27 6944 26 7045 26 7146 26 7247 26 7348 26 7448 27 7549 27 7650 27 7751 27 7851 28 7952 28 8053 28 8154 28 8255 28 8356 28 8458 27 8559 27 8660 27 8761 27 8862 27 8963 27 9065 26 9166 26 9267 26 9367 27 9468 27 9569 27 9670 27 9771 27 9872 27 9973 27 10074 27 10175 27
012c3ed07e,1 6464 6466 100 6571 96 6675 93 6779 90 6882 88 6985 86 7088 84 7191 82 7294 80 7396 79 7497 79 7599 78 7700 78 7802 77 7903 77 8004 77 8105 77 8206 77 8307 77 8408 77 8508 78 8609 78 8709 79 8809 80 8910 80 9010 81 9111 81 9212 81 9314 80 9415 80 9516 80 9618 79 9720 78 9822 77 9924 76 10026 75 10128 74
012daf4256,
012ee0802b,1 16 102 17 203 17 304 18 405 18 506 19 607 19 708 19 809 20 910 21 1011 22 1112 22 1213 23 1314 24 1415 25 1516 26 1617 27 1718 28 1819 28 1920 29 2021 29 2122 30 2223 30 2324 31 2425 32 2526 32 2627 33 2728 34 2829 34 2930 35 3031 36 3132 37 3233 38 3334 39 3435 40 3536 41 3637 42 3738 42 3839 43 3940 44 4041 45 4142 46 4243 46 4344 47 4445 48 4546 49 4647 49 4748 50 4849 51 4950 51 5051 52 5152 53 5253 53 5354 54 5455 55 5556 55 5657 56 5758 56 5859 56 5960 57 6061 57 6162 58 6263 58 6364 58 6465 58 6566 58 6667 59 6768 59 6869 59 6970 59 7071 59 7172 59 7273 59 7374 59 7475 59 7576 59 7677 58 7778 58 7879 58 7980 58 8081 58 8182 58 8283 58 8384 58 8485 58 8586 58 8687 58 8788 58 8889 58 8990 58 9091 58 9192 58 9293 58 9394 57 9495 57 9596 57 9697 57 9798 56 9899 56 10000 56 10101 55
013259c337,21 81 121 82 221 83 322 83 422 84 522 85 623 85 723 86 824 86 924 87 1025 87 1125 88 1226 88 1326 89 1427 89 1527 90 1628 90 1728 91 1829 91 1930 91 2030 92 2131 92 2232 92 2332 93 2433 93 2533 94 2632 96 2730 99 2830 1093 3931 91 4035 5 4041 81 4142 79 4243 78 4344 77 4445 76 4546 75 4647 74 4748 74 4849 73 4950 71 5051 70 5152 70 5253 69 5354 68 5455 67 5556 66 5657 65 5758 64 5859 63 5960 62 6061 60 6162 59 6263 57 6364 56 6465 55 6566 54 6667 52 6768 51 6869 50 6970 49 7073 45 7175 43 7280 37 7384 33 7488 27 7593 21 7709 1
013974bce2,
013b2d2dd1,
013e4e716a,
013f2c7bef,
014681457b,
01495a638f,28 74 128 75 229 75 330 75 432 74 533 74 635 73 736 73 838 72 939 72 1040 72 1141 72 1242 72 1343 72 1444 72 1545 72 1646 72 1747 72 1848 72 1949 72 2051 71 2152 71 2253 71 2354 71 2456 70 2557 70 2658 70 2759 70 2860 70 2962 69 3063 69 3165 68 3266 68 3368 67 3469 67 3570 67 3671 67 3772 67 3873 67 3974 67 4076 66 4177 66 4278 66 4379 66 4480 66 4581 66 4683 65 4784 65 4885 65 4986 65 5087 65 5188 65 5289 65 5390 65 5491 65 5593 64 5694 64 5795 64 5896 64 5998 63 6099 63 6200 63 6301 63 6402 63 6504 62 6605 62 6706 62 6807 62 6909 61 7010 61 7111 61 7213 60 7314 60 7415 60 7517 59 7618 59 7719 59 7821 58 7923 57 8025 56 8126 56 8228 55 8329 55 8430 55 8532 54 8633 54 8734 54 8835 54 8936 54 9038 53 9139 53 9240 53 9341 53 9442 53 9543 53 9645 52 9746 52 9847 52 9948 52 10049 52 10150 52
014a31d53f,
014cc353bd,7 95 108 95 208 96 310 95 411 95 512 95 613 95 715 94 816 94 918 93 1020 92 1121 92 1223 91 1325 90 1426 90 1527 90 1628 90 1729 90 1830 90 1931 90 2033 89 2134 89 2235 89 2336 89 2436 90 2537 90 2638 90 2738 91 2837 93 2935 96 3035 97 3135 98 3235 99 3335 100 3436 6766
014df49b3c,
0155f4541f,
01572cfbc2,
0167d67b9e,1 67 102 68 203 68 304 69 405 69 506 70 607 71 708 71 809 72 910 73 1011 73 1112 74 1213 75 1314 75 1415 76 1516 76 1617 76 1718 77 1819 77 1920 77 2021 78 2122 78 2223 78 2324 78 2425 78 2526 79 2627 79 2728 79 2829 79 2930 79 3031 79 3132 80 3233 80 3334 80 3435 81 3536 81 3637 82 3738 83 3839 84 3940 86 4041 87 4142 88 4243 89 4344 89 4445 90 4546 90 4647 91 4748 91 4849 92 4950 92 5051 92 5152 93 5253 93 5354 94 5455 94 5556 94 5657 95 5758 95 5859 96 5960 96 6061 96 6162 96 6263 96 6364 96 6465 96 6566 96 6667 96 6768 96 6869 96 6970 96 7071 97 7172 97 7273 97 7374 98 7475 98 7576 98 7677 99 7778 1918 9697 100 9798 99 9899 98 10000 98 10101 97
01694e04e2,
016a8b9b9a,
016ec66cd4,
01721bbf24,1 38 102 38 203 38 304 38 405 38 506 38 607 38 708 38 809 38 910 37 1011 37 1112 36 1213 36 1314 35 1415 35 1516 35 1617 34 1718 34 1819 34 1920 33 2021 33 2122 33 2223 33 2324 32 2425 32 2526 31 2627 31 2728 30 2829 29 2930 28 3031 26 3132 23 3233 19 3334 17 3435 14 3536 12 3643 4
0172b71f58,
0175551830,3937 3 4037 4 4137 5 4237 6 4338 6 4438 7 4539 7 4639 8 4739 9 4839 10 4939 11 5038 13 5137 15 5237 16 5337 17 5437 18 5537 19 5637 20 5737 21 5837 22 5938 22 6038 23 6138 24 6238 25 6338 26 6439 26 6539 27 6639 28 6740 28 6840 29 6940 30 7040 31 7140 32 7241 32 7341 33 7441 34 7542 34 7642 35 7742 36 7843 36 7943 37 8043 38 8143 39 8243 40 8342 42 8442 43 8542 44 8642 45 8741 47 8841 48 8941 49 9041 50 9140 52 9240 53 9341 53 9441 54 9541 55 9641 56 9742 56 9843 56 9943 57 10044 57 10146 56
0176d2ace5,
017d84a5a6,
0189ff5265,7 95 108 95 208 96 310 95 411 95 514 93 616 92 719 90 822 88 925 86 1028 84 1130 83 1233 81 1335 80 1437 79 1540 77 1643 75 1746 73 1849 71 1952 69 2055 67 2159 64 2262 62 2365 60 2469 57 2574 53 2679 49 2786 43 2891 39 2995 36 3098 34 3200 33 3304 30 3410 8 3427 8 3531 2
01914d82ca,14 88 115 88 216 88 317 88 419 87 522 85 625 83 728 81 832 78 936 75 1039 73 1142 71 1245 69 1349 66 1452 64 1554 63 1656 62 1758 61 1860 60 1962 59 2063 59 2165 58 2266 58 2368 57 2469 57 2570 57 2671 57 2772 57 2873 57 2974 57 3075 57 3175 58 3276 58 3376 59 3477 59 3578 59 3678 60 3779 60 3879 61 3980 61 4080 62 4181 62 4282 62 4383 62 4484 62 4585 62 4687 61 4789 60 4891 59 4994 57 5097 55 5200 53 5305 49 5412 43 5519 37 5624 33 5730 28 5845 14 5956 4
0192693ea2,1 2322 2324 98 2425 95 2526 94 2627 93 2728 92 2829 91 2930 90 3031 89 3132 89 3233 88 3334 88 3435 88 3536 88 3637 88 3738 88 3839 88 3940 88 4041 88 4142 88 4243 88 4344 88 4445 87 4546 87 4647 87 4748 87 4849 86 4950 86 5051 85 5152 85 5253 83 5354 81 5455 79 5556 77 5657 74 5758 70 5859 69 5960 68 6061 68 6162 67 6263 66 6364 65 6465 64 6566 64 6667 63 6768 62 6869 61 6970 60 7071 59 7172 57 7273 53 7374 48 7475 44 7576 40 7677 36 7778 30 7879 25 7980 19
01926f809a,
019342f169,
019766b43c,30 72 131 72 232 72 333 72 434 72 535 72 636 72 737 72 838 72 939 72 1039 73 1140 73 1241 73 1342 73 1443 73 1543 74 1644 74 1746 73 1847 73 1948 73 2049 73 2150 73 2251 73 2351 74 2452 74 2553 74 2654 74 2754 75 2855 75 2956 75 3056 76 3157 76 3258 76 3359 76 3460 76 3561 76 3662 76 3763 76 3863 77 3964 77 4065 77 4166 77 4266 78 4367 78 4468 78 4568 79 4669 79 4769 80 4870 80 4971 80 5071 81 5172 81 5273 81 5373 82 5474 82 5575 82 5675 83 5775 84 5876 84 5976 85 6077 85 6177 86 6278 86 6378 87 6479 87 6580 87 6681 87 6781 88 6883 87 6984 87 7085 87 7187 86 7290 84 7392 83 7495 81 7599 78 7701 77 7803 76 7904 76 8005 76 8106 76 8207 76 8309 75 8410 75 8512 74 8613 74 8715 73 8816 73 8918 72 9020 71 9121 71 9223 70 9324 70 9425 70 9526 70 9627 70 9729 69 9830 69 9931 69 10032 69 10134 68
01a40c3405,
01a48b1544,
01a70b45ed,54 48 154 49 255 49 357 48 458 48 559 48 661 47 763 46 865 45 967 44 1068 44 1170 43 1271 43 1373 42 1474 42 1575 42 1676 42 1777 42 1879 41 1980 41 2081 41 2181 42 2282 42 2383 42 2484 42 2585 42 2686 42 2787 42 2889 41 2990 41 3090 42 3191 42 3292 42 3392 43 3493 43 3594 43 3694 44 3795 44 3895 45 3995 46 4095 47 4195 48 4295 49 4396 49 4496 50 4596 51 4697 51 4797 52 4898 52 4998 53 5099 53 5199 54 5300 54 5401 54 5501 55 5602 55 5703 55 5803 56 5904 56 6005 56 6105 57 6206 57 6306 58 6407 58 6508 58 6608 59 6709 59 6810 59 6910 60 7011 60 7112 60 7212 61 7313 61 7414 61 7514 62 7615 62 7716 62 7817 62 7918 62 8018 63 8119 63 8220 63 8321 63 8422 63 8523 63 8624 63 8725 63 8826 63 8927 63 9029 62 9130 62 9231 62 9333 61 9434 61 9535 61 9637 60 9738 60 9840 59 9941 59 10042 59 10144 58
01a9e8454c,1 68 102 69 203 69 304 70 405 70 506 71 607 71 708 72 809 73 910 74 1011 76 1112 77 1213 79 1314 80 1415 81 1516 82 1617 83 1718 84 1819 85 1920 86 2021 87 2122 88 2223 89 2324 90 2425 91 2526 91 2627 92 2728 92 2829 93 2930 94 3031 94 3132 94 3233 95 3334 95 3435 96 3536 96 3637 97 3738 97 3839 98 3940 98 4041 98 4142 99 4243 99 4344 100 4445 5757
01aa774656,3801 5 3823 2 3830 7 3897 43 3967 5 3979 3 3994 47 4064 78 4147 4 4157 6045
01abaa26e8,1 7372 7374 98 7475 97 7576 97 7677 96 7778 96 7879 94 7980 93 8081 89 8182 86 8283 84 8384 83 8485 83 8586 82 8687 82 8788 81 8889 79 8990 76 9091 73 9192 71 9293 70 9394 69 9495 69 9596 68 9697 67 9798 67 9899 66 10000 66 10101 65
01af0a6ee9,96 6 196 7 297 7 398 7 499 7 601 6 702 6 803 6 905 5 1006 5 1107 5 1208 5 1309 5 1410 5 1511 5 1611 6 1712 6 1813 6 1913 7 2014 7 2115 7 2216 7 2317 7 2418 7 2519 7 2621 6 2722 6 2823 6 2924 6 3025 6 3127 5 3228 5
01b134167c,
01b47afbf4,
01c5af2643,
01d6be9b57,
01d782ab9a,
01dd84b7dd,1 38 102 38 203 38 304 38 405 38 506 38 607 39 708 39 809 39 910 40 1011 40 1112 42 1213 44 1314 46 1415 47 1516 48 1617 48 1718 47 1819 47 1920 46 2021 46 2122 45 2223 43 2324 41 2425 37 2526 34 2627 32 2728 30 2829 28 2930 27 3031 25 3132 24 3233 23 3334 22 3435 21 3536 21 3637 20 3738 20 3839 19 3940 19 4041 18 4142 18 4243 17 4344 16 4445 16 4546 14 4647 13 4748 13 4849 11 4950 10 5051 9 5152 8 5253 7 5354 6 5455 6 5556 5 5657 3 5758 3
01e136f700,1 4287 4290 3 4306 73 4411 63 4513 54 4615 45 4717 31 4749 8 4818 31 4920 30 5021 30 5123 29 5224 29 5327 26 5430 22 5534 11
01ea536900,1 65 102 66 183 4 203 66 282 6 304 66 405 66 506 39 558 12 607 30 661 8 708 25 762 8 809 22 864 7 910 12 967 3 1011 8 1113 4 1403 2 1502 6 1510 2 1600 14 1700 15 1800 18 1900 20 2001 20 2097 2 2101 21 2159 9 2198 25 2257 16 2298 26 2349 28 2398 27 2446 41 2498 28 2545 82 2643 85 2740 89 2836 94 2936 95 3036 96 3136 97 3236 98 3337 98 3437 98 3537 97 3638 97 3738 90 3829 6 3839 89 3940 75 4017 9 4041 72 4142 71 4243 71 4344 71 4446 69 4547 69 4649 67 4751 65 4853 63 4955 61 5058 58 5161 54 5264 51 5367 49 5469 48 5570 50 5672 50 5773 51 5875 53 5932 2 5935 14 5976 78 6077 80 6178 81 6279 81 6380 82 6481 82 6582 82 6683 83 6784 83 6884 84 6985 84 7085 85 7186 85 7287 86 7387 87 7488 88 7589 88 7690 88 7791 88 7891 89 7992 89 8093 89 8194 89 8295 89 8395 90 8495 91 8595 92 8696 92 8797 92 8899 91 9000 91 9102 90 9203 90 9305 89 9406 38 9447 48 9507 35 9550 4 9556 40 9608 30 9652 3 9657 40 9710 19 9734 3 9759 39 9812 15 9862 37 9915 11 9963 37 10016 9 10062 39 10163 39
01eab004dd,
01ee06523b,7340 7 7438 19 7538 23 7637 28 7737 32 7837 39 7937 42 8038 43 8138 44 8239 44 8339 45 8440 45 8541 45 8641 46 8742 46 8843 46 8944 46 9046 45 9147 45 9248 45 9349 45 9450 45 9551 45 9652 45 9753 45 9855 44 9956 44 10058 43 10159 43
01ee4f83f9,
01f2262bf6,
01f2b031ac,2315 8 2409 16 2508 18 2574 14 2606 21 2671 29 2702 26 2769 60 2868 62 2967 64 3068 64 3168 65 3268 66 3367 68 3465 71 3563 74 3661 77 3759 80 3857 83 3955 86 4054 88 4153 90 4253 91 4353 92 4454 92 4555 92 4656 92 4758 91 4860 90 4963 88 5066 86 5169 84 5273 81 5375 80 5477 79 5578 79 5677 81 5773 86 5871 89 5968 93 6067 95 6165 4037
01f32c502c,
01f43eb833,8177 4 8269 14 8362 22 8457 28 8554 32 8649 38 8747 41 8791 2 8795 28 8842 47 8891 39 8938 52 8992 99 9092 100 9193 100 9294 100 9395 100 9496 100 9597 100 9698 100 9800 99 9902 98 10004 97 10107 95
01f537721e,
01f5dedbf0,
01f91c6197,
